TopicNumber,Keywords,MacroTopic,TopicName
0,guerra ucraino russo pace Putin europeo Ucraina arma Russia internazionale Italia paese estero italiano collega popolo sostegno governo diplomatico civile,Relazioni internazionali e valori progressisti,Discorso geopolitico sulla guerra in Ucraina
1,governo parlamentare interrogazione ministro fascismo studente sinistraitaliano scuola parola vicenda destra perché consigliere organizzazione fascista ragazzo renzi lamorgese stampa giornalista,Governance e posizionamento politico,Controllo parlamentare e responsabilità del governo
2,candidato maio destra conte Roma voto drago cosa raggio campo elettorale secondo primo fratoianni accordo collegio coalizione campagna primario sindaco,Governance e posizionamento politico,Candidature politiche e strategie elettorali
3,impresa famiglia bolletta governo prezzo euro costo tetto miliardo proposta nuovo intervento italiano crisi aumento anno altro gas cittadino azienda,Politica economica e sociale,Pressioni economiche su famiglie e piccole imprese
4,cosa politica quando ogni politico persona ragione nulla senza altro anno giorno volta due parte fatto italiano paese modo molto,Governance e posizionamento politico,Critiche al comportamento politico e alla rappresentanza
5,anno migrante famiglia italiano vittima dolore libico vita tragedia giustizia pensiero libia persona ora governo guardia illegale processo scomparsa umano,Relazioni internazionali e valori progressisti,Politiche di destra e opposizione ideologica
6,vaccino covid scuola pandemia sanità governo sanitario salute regione pubblico piano vaccinale pass tempo dato brevetto greenpass priorità italiano disastro,Politica economica e sociale,Politiche ambientali e difesa del clima
7,libertà diritto democrazia dovere politica persona società senza libro stato questione grande paese donna principio quando valore modo senso verso,Relazioni internazionali e valori progressisti,Diritti dei lavoratori e tutele occupazionali
8,donna solidarietà libertà diritto tutto valore violenza ogni parte resistenza vita giorno piazza memoria fianco proprio senza mafia forza lotta,Relazioni internazionali e valori progressisti,Giustizia sociale e diritti delle minoranze
9,politica sinistra paese destra politico partito serio italiasulserio voto elettorale governo proposta cosa populista campagna liberale persona programma democratico modo,Governance e posizionamento politico,Memoria storica e commemorazione nella retorica politica
10,classe dirigente melone destra salvino gruppo voto berluscone parte trump partito bianco parola italiano campagna elettore tutto amico meloni elettorale,Governance e posizionamento politico,Politiche sanitarie e salute pubblica
11,pour italy europe dans democracy today people une must ukraine avec que european sur européenne veto one lue leurope cofoe,Relazioni internazionali e valori progressisti,Influenza dei media e costruzione delle narrazioni
12,lavoro lavoratore diritto legge governo reddito sinistraitaliano tassa sociale sindacato giovane referendum patrimoniale manovra cittadinanza salariominimo minimo grande firma milione,Politica economica e sociale,Politiche migratorie e identità nazionale
13,tanto grazie bello grande lavoro litalia tutto cittadino anno buono sindaco futuro città persona importante presidente nuovo politica primo Roma,Governance e posizionamento politico,Indipendenza giudiziaria e integrità legale
14,cultura museo storia romano serie unico storico giovane società grande app soldo calcio teatro visitatore collezione capitolino ragazzo mila nazionale,Politica economica e sociale,Riforma dell’istruzione e sfide educative
15,proposta giovane lavoro gas investimento paese piano sociale pnrr costo scuola europeo altro programma futuro energetico primo pubblico nuovo sanità,Politica economica e sociale,Politica dell'Unione Europea e ruolo dell'Italia
16,Roma rifiuto piano cittadino anno comune città programma candidato mese altro raggio servizio termovalorizzatore romasulserio municipio capitale sindaco romano quartiere,Governance e posizionamento politico,Retorica populista e sentimento anti-establishment
17,drago governo parlamento presidente conte legge politico dopo maggioranza partito salvino forza italiano crisi giorno altro mese repubblica quirinale paese,Governance e posizionamento politico,Legislazione climatica e leadership politica